title,description,text,effort_hours
Ajouter la fonctionnalité : Calendrier des événements,Calendrier interactif affichant les événements avec vue mois/semaine,Ajouter la fonctionnalité : Calendrier des événements Calendrier interactif affichant les événements avec vue mois/semaine,17.7
Créer Système de rôles et permissions,"Gestion de rôles (admin, manager, user) avec permissions différenciées par page","Créer Système de rôles et permissions Gestion de rôles (admin, manager, user) avec permissions différenciées par page",19.2
Module de reporting avancé avec export multi-format,"Génération de rapports complexes avec agrégations, filtres dynamiques et export PDF/Excel","Module de reporting avancé avec export multi-format Génération de rapports complexes avec agrégations, filtres dynamiques et export PDF/Excel",38.0
Développer : Estimation automatique de l'effort par IA,Modèle de machine learning qui prédit l'effort nécessaire à partir de la description d'une tâche,Développer : Estimation automatique de l'effort par IA Modèle de machine learning qui prédit l'effort nécessaire à partir de la description d'une tâche,51.8
Créer Module d'analyse prédictive,Tableau de bord utilisant un modèle prédictif pour anticiper des tendances métier,Créer Module d'analyse prédictive Tableau de bord utilisant un modèle prédictif pour anticiper des tendances métier,49.0
Créer Système de recommandation de produits,Moteur de recommandation basé sur l'historique d'achat et le comportement de l'utilisateur,Créer Système de recommandation de produits Moteur de recommandation basé sur l'historique d'achat et le comportement de l'utilisateur,49.3
Ajouter la fonctionnalité : Créer table des catégories,"CRUD basique pour gérer des catégories (ajout, édition, suppression)","Ajouter la fonctionnalité : Créer table des catégories CRUD basique pour gérer des catégories (ajout, édition, suppression)",8.0
Développer : Système de validation en plusieurs étapes,"Workflow d'approbation à plusieurs niveaux (soumission, revue, validation finale)","Développer : Système de validation en plusieurs étapes Workflow d'approbation à plusieurs niveaux (soumission, revue, validation finale)",20.0
Ajouter la fonctionnalité : Page de contact avec carte,Formulaire de contact avec une carte Google Maps intégrée,Ajouter la fonctionnalité : Page de contact avec carte Formulaire de contact avec une carte Google Maps intégrée,6.1
Développer : Intelligence artificielle de détection de fraude,Modèle de machine learning pour détecter les transactions frauduleuses en temps réel,Développer : Intelligence artificielle de détection de fraude Modèle de machine learning pour détecter les transactions frauduleuses en temps réel,55.4
Créer Système d'authentification à deux facteurs,Ajout de la 2FA par SMS ou application d'authentification avec gestion de la récupération,Créer Système d'authentification à deux facteurs Ajout de la 2FA par SMS ou application d'authentification avec gestion de la récupération,26.5
Créer Dashboard avec statistiques,Tableau de bord affichant des graphiques et indicateurs clés à partir de la base de données,Créer Dashboard avec statistiques Tableau de bord affichant des graphiques et indicateurs clés à partir de la base de données,20.6
Recherche avancée avec filtres multiples,"Recherche avec plusieurs filtres combinés (date, catégorie, statut, prix)","Recherche avancée avec filtres multiples Recherche avec plusieurs filtres combinés (date, catégorie, statut, prix)",16.3
Système de géolocalisation en temps réel,Suivi de position en temps réel sur une carte avec historique des trajets,Système de géolocalisation en temps réel Suivi de position en temps réel sur une carte avec historique des trajets,44.3
Recherche avancée avec filtres multiples,"Recherche avec plusieurs filtres combinés (date, catégorie, statut, prix)","Recherche avancée avec filtres multiples Recherche avec plusieurs filtres combinés (date, catégorie, statut, prix)",15.0
Page à propos statique,Page HTML statique avec texte de présentation de l'entreprise,Page à propos statique Page HTML statique avec texte de présentation de l'entreprise,2.3
Intégration API de paiement multiple,"Support de plusieurs passerelles de paiement (Stripe, PayPal, virement) avec réconciliation","Intégration API de paiement multiple Support de plusieurs passerelles de paiement (Stripe, PayPal, virement) avec réconciliation",36.6
Créer Système de recommandation basé sur le deep learning,Moteur de recommandation utilisant un réseau de neurones entraîné sur les données utilisateurs,Créer Système de recommandation basé sur le deep learning Moteur de recommandation utilisant un réseau de neurones entraîné sur les données utilisateurs,54.1
Système de recommandation basé sur le deep learning,Moteur de recommandation utilisant un réseau de neurones entraîné sur les données utilisateurs,Système de recommandation basé sur le deep learning Moteur de recommandation utilisant un réseau de neurones entraîné sur les données utilisateurs,58.4
Ajouter la fonctionnalité : Affichage des commentaires,"Liste des commentaires sous un article, sans modération","Ajouter la fonctionnalité : Affichage des commentaires Liste des commentaires sous un article, sans modération",4.6
Créer Système de vidéoconférence intégrée,Appels vidéo entre utilisateurs directement dans l'application avec partage d'écran,Créer Système de vidéoconférence intégrée Appels vidéo entre utilisateurs directement dans l'application avec partage d'écran,51.2
Créer Historique des actions utilisateur,Journal (log) qui trace les actions importantes effectuées par chaque utilisateur,Créer Historique des actions utilisateur Journal (log) qui trace les actions importantes effectuées par chaque utilisateur,13.1
Historique des actions utilisateur,Journal (log) qui trace les actions importantes effectuées par chaque utilisateur,Historique des actions utilisateur Journal (log) qui trace les actions importantes effectuées par chaque utilisateur,14.0
Mettre en place Intégration d'un système de tags dynamiques,Auto-complétion de tags existants lors de la saisie,Mettre en place Intégration d'un système de tags dynamiques Auto-complétion de tags existants lors de la saisie,10.0
Développer : Architecture microservices pour module critique,Refonte d'un module en microservice indépendant avec communication asynchrone,Développer : Architecture microservices pour module critique Refonte d'un module en microservice indépendant avec communication asynchrone,46.4
Mettre en place Intégration paiement en ligne,"Ajouter Stripe pour permettre aux clients de payer leurs commandes, avec gestion des erreurs et webhook de confirmation","Mettre en place Intégration paiement en ligne Ajouter Stripe pour permettre aux clients de payer leurs commandes, avec gestion des erreurs et webhook de confirmation",42.4
Dashboard avec statistiques,Tableau de bord affichant des graphiques et indicateurs clés à partir de la base de données,Dashboard avec statistiques Tableau de bord affichant des graphiques et indicateurs clés à partir de la base de données,23.0
Développer : Page à propos statique,Page HTML statique avec texte de présentation de l'entreprise,Développer : Page à propos statique Page HTML statique avec texte de présentation de l'entreprise,2.3
Développer : Export CSV simple,Bouton pour exporter une liste en fichier CSV basique,Développer : Export CSV simple Bouton pour exporter une liste en fichier CSV basique,4.7
Créer Architecture microservices pour module critique,Refonte d'un module en microservice indépendant avec communication asynchrone,Créer Architecture microservices pour module critique Refonte d'un module en microservice indépendant avec communication asynchrone,47.1
Créer Page à propos statique,Page HTML statique avec texte de présentation de l'entreprise,Créer Page à propos statique Page HTML statique avec texte de présentation de l'entreprise,1.9
Créer Afficher liste des utilisateurs,Page qui affiche la liste des utilisateurs avec pagination simple,Créer Afficher liste des utilisateurs Page qui affiche la liste des utilisateurs avec pagination simple,5.0
Développer : Authentification utilisateur,Système de login et inscription avec validation email et hashage du mot de passe,Développer : Authentification utilisateur Système de login et inscription avec validation email et hashage du mot de passe,14.5
Mettre en place Plateforme temps réel multi-tenant à grande échelle,Architecture supportant plusieurs organisations simultanément avec isolation des données et scalabilité,Mettre en place Plateforme temps réel multi-tenant à grande échelle Architecture supportant plusieurs organisations simultanément avec isolation des données et scalabilité,63.2
Ajouter la fonctionnalité : Système de messagerie en temps réel,"Chat en temps réel entre utilisateurs avec WebSockets, indicateurs de frappe et statut en ligne","Ajouter la fonctionnalité : Système de messagerie en temps réel Chat en temps réel entre utilisateurs avec WebSockets, indicateurs de frappe et statut en ligne",51.2
Développer : Intégration webhook multi-services,Système d'événements sortants vers plusieurs services externes avec retry automatique,Développer : Intégration webhook multi-services Système d'événements sortants vers plusieurs services externes avec retry automatique,36.0
Mettre en place Authentification utilisateur,Système de login et inscription avec validation email et hashage du mot de passe,Mettre en place Authentification utilisateur Système de login et inscription avec validation email et hashage du mot de passe,14.7
Ajouter la fonctionnalité : Système de géolocalisation en temps réel,Suivi de position en temps réel sur une carte avec historique des trajets,Ajouter la fonctionnalité : Système de géolocalisation en temps réel Suivi de position en temps réel sur une carte avec historique des trajets,41.5
Chatbot intelligent avec NLP,Assistant conversationnel utilisant le traitement du langage naturel pour répondre aux questions clients,Chatbot intelligent avec NLP Assistant conversationnel utilisant le traitement du langage naturel pour répondre aux questions clients,57.6
Ajouter la fonctionnalité : Système de sécurité avec détection d'anomalies,Surveillance en temps réel du système avec détection d'anomalies via machine learning,Ajouter la fonctionnalité : Système de sécurité avec détection d'anomalies Surveillance en temps réel du système avec détection d'anomalies via machine learning,62.7
Développer : Estimation automatique de l'effort par IA,Modèle de machine learning qui prédit l'effort nécessaire à partir de la description d'une tâche,Développer : Estimation automatique de l'effort par IA Modèle de machine learning qui prédit l'effort nécessaire à partir de la description d'une tâche,52.0
Système de commentaires avec modération,Commentaires avec système de signalement et validation par un admin,Système de commentaires avec modération Commentaires avec système de signalement et validation par un admin,17.9
Ajouter la fonctionnalité : Système de validation en plusieurs étapes,"Workflow d'approbation à plusieurs niveaux (soumission, revue, validation finale)","Ajouter la fonctionnalité : Système de validation en plusieurs étapes Workflow d'approbation à plusieurs niveaux (soumission, revue, validation finale)",21.7
Créer Architecture microservices pour module critique,Refonte d'un module en microservice indépendant avec communication asynchrone,Créer Architecture microservices pour module critique Refonte d'un module en microservice indépendant avec communication asynchrone,43.6
Créer Ajout d'un menu de navigation,Menu responsive avec liens vers les pages principales,Créer Ajout d'un menu de navigation Menu responsive avec liens vers les pages principales,3.9
Architecture microservices pour module critique,Refonte d'un module en microservice indépendant avec communication asynchrone,Architecture microservices pour module critique Refonte d'un module en microservice indépendant avec communication asynchrone,52.1
Mettre en place Gestion des fichiers joints,"Permettre l'ajout de plusieurs fichiers (pdf, image) à une tâche avec prévisualisation","Mettre en place Gestion des fichiers joints Permettre l'ajout de plusieurs fichiers (pdf, image) à une tâche avec prévisualisation",14.3
Ajouter la fonctionnalité : Dashboard avec statistiques,Tableau de bord affichant des graphiques et indicateurs clés à partir de la base de données,Ajouter la fonctionnalité : Dashboard avec statistiques Tableau de bord affichant des graphiques et indicateurs clés à partir de la base de données,19.3
Mettre en place Plateforme temps réel multi-tenant à grande échelle,Architecture supportant plusieurs organisations simultanément avec isolation des données et scalabilité,Mettre en place Plateforme temps réel multi-tenant à grande échelle Architecture supportant plusieurs organisations simultanément avec isolation des données et scalabilité,72.9
Développer : Calendrier des événements,Calendrier interactif affichant les événements avec vue mois/semaine,Développer : Calendrier des événements Calendrier interactif affichant les événements avec vue mois/semaine,15.7
Créer Upload et gestion d'images,Permettre l'upload d'images avec redimensionnement et stockage sécurisé,Créer Upload et gestion d'images Permettre l'upload d'images avec redimensionnement et stockage sécurisé,13.9
Créer Upload et gestion d'images,Permettre l'upload d'images avec redimensionnement et stockage sécurisé,Créer Upload et gestion d'images Permettre l'upload d'images avec redimensionnement et stockage sécurisé,13.9
Mettre en place Module de reporting avancé avec export multi-format,"Génération de rapports complexes avec agrégations, filtres dynamiques et export PDF/Excel","Mettre en place Module de reporting avancé avec export multi-format Génération de rapports complexes avec agrégations, filtres dynamiques et export PDF/Excel",32.4
Système de recherche full-text avec Elasticsearch,Intégration d'un moteur de recherche performant avec indexation et pertinence des résultats,Système de recherche full-text avec Elasticsearch Intégration d'un moteur de recherche performant avec indexation et pertinence des résultats,35.6
Ajouter la fonctionnalité : Système de reconnaissance d'image,Intégration d'un modèle de vision par ordinateur pour classifier des images uploadées,Ajouter la fonctionnalité : Système de reconnaissance d'image Intégration d'un modèle de vision par ordinateur pour classifier des images uploadées,55.2
Développer : Intelligence artificielle de détection de fraude,Modèle de machine learning pour détecter les transactions frauduleuses en temps réel,Développer : Intelligence artificielle de détection de fraude Modèle de machine learning pour détecter les transactions frauduleuses en temps réel,54.1
Ajouter la fonctionnalité : Changer le mot de passe,Formulaire simple de changement de mot de passe avec validation basique,Ajouter la fonctionnalité : Changer le mot de passe Formulaire simple de changement de mot de passe avec validation basique,4.7
Liste des produits avec filtres simples,Affichage produits avec filtre par catégorie uniquement,Liste des produits avec filtres simples Affichage produits avec filtre par catégorie uniquement,7.8
Créer Système de sécurité avec détection d'anomalies,Surveillance en temps réel du système avec détection d'anomalies via machine learning,Créer Système de sécurité avec détection d'anomalies Surveillance en temps réel du système avec détection d'anomalies via machine learning,56.6
Mettre en place Gestion des fichiers joints,"Permettre l'ajout de plusieurs fichiers (pdf, image) à une tâche avec prévisualisation","Mettre en place Gestion des fichiers joints Permettre l'ajout de plusieurs fichiers (pdf, image) à une tâche avec prévisualisation",14.3
Créer Système de vidéoconférence intégrée,Appels vidéo entre utilisateurs directement dans l'application avec partage d'écran,Créer Système de vidéoconférence intégrée Appels vidéo entre utilisateurs directement dans l'application avec partage d'écran,61.3
Développer : Créer formulaire de contact,"Ajouter un formulaire simple avec nom, email et message, envoyé par mail","Développer : Créer formulaire de contact Ajouter un formulaire simple avec nom, email et message, envoyé par mail",6.8
Créer Synchronisation temps réel multi-utilisateurs,Édition collaborative en temps réel avec gestion des conflits entre plusieurs utilisateurs,Créer Synchronisation temps réel multi-utilisateurs Édition collaborative en temps réel avec gestion des conflits entre plusieurs utilisateurs,44.1
Affichage des commentaires,"Liste des commentaires sous un article, sans modération","Affichage des commentaires Liste des commentaires sous un article, sans modération",4.7
Développer : Gestion des fichiers joints,"Permettre l'ajout de plusieurs fichiers (pdf, image) à une tâche avec prévisualisation","Développer : Gestion des fichiers joints Permettre l'ajout de plusieurs fichiers (pdf, image) à une tâche avec prévisualisation",16.5
Créer Module de facturation automatique récurrente,Génération automatique de factures récurrentes avec gestion des abonnements et relances,Créer Module de facturation automatique récurrente Génération automatique de factures récurrentes avec gestion des abonnements et relances,41.0
Développer : Créer table des catégories,"CRUD basique pour gérer des catégories (ajout, édition, suppression)","Développer : Créer table des catégories CRUD basique pour gérer des catégories (ajout, édition, suppression)",8.7
Ajouter la fonctionnalité : Système de messagerie en temps réel,"Chat en temps réel entre utilisateurs avec WebSockets, indicateurs de frappe et statut en ligne","Ajouter la fonctionnalité : Système de messagerie en temps réel Chat en temps réel entre utilisateurs avec WebSockets, indicateurs de frappe et statut en ligne",51.7
Ajouter la fonctionnalité : Export PDF de rapport,Génération de rapports PDF dynamiques avec mise en page personnalisée,Ajouter la fonctionnalité : Export PDF de rapport Génération de rapports PDF dynamiques avec mise en page personnalisée,13.4
Ajout d'un menu de navigation,Menu responsive avec liens vers les pages principales,Ajout d'un menu de navigation Menu responsive avec liens vers les pages principales,4.5
Ajouter la fonctionnalité : Architecture microservices pour module critique,Refonte d'un module en microservice indépendant avec communication asynchrone,Ajouter la fonctionnalité : Architecture microservices pour module critique Refonte d'un module en microservice indépendant avec communication asynchrone,44.6
Ajouter la fonctionnalité : Intégration API de paiement multiple,"Support de plusieurs passerelles de paiement (Stripe, PayPal, virement) avec réconciliation","Ajouter la fonctionnalité : Intégration API de paiement multiple Support de plusieurs passerelles de paiement (Stripe, PayPal, virement) avec réconciliation",46.6
Développer : Système de vidéoconférence intégrée,Appels vidéo entre utilisateurs directement dans l'application avec partage d'écran,Développer : Système de vidéoconférence intégrée Appels vidéo entre utilisateurs directement dans l'application avec partage d'écran,55.6
Créer Moteur de scoring prédictif client,Modèle prédictif qui score les clients selon leur probabilité de conversion,Créer Moteur de scoring prédictif client Modèle prédictif qui score les clients selon leur probabilité de conversion,57.3
Ajouter la fonctionnalité : Architecture microservices pour module critique,Refonte d'un module en microservice indépendant avec communication asynchrone,Ajouter la fonctionnalité : Architecture microservices pour module critique Refonte d'un module en microservice indépendant avec communication asynchrone,40.8
Ajouter la fonctionnalité : Module de reporting avancé avec export multi-format,"Génération de rapports complexes avec agrégations, filtres dynamiques et export PDF/Excel","Ajouter la fonctionnalité : Module de reporting avancé avec export multi-format Génération de rapports complexes avec agrégations, filtres dynamiques et export PDF/Excel",42.2
Mettre en place Créer formulaire de contact,"Ajouter un formulaire simple avec nom, email et message, envoyé par mail","Mettre en place Créer formulaire de contact Ajouter un formulaire simple avec nom, email et message, envoyé par mail",5.9
Système de rôles et permissions,"Gestion de rôles (admin, manager, user) avec permissions différenciées par page","Système de rôles et permissions Gestion de rôles (admin, manager, user) avec permissions différenciées par page",22.0
Module de facturation automatique récurrente,Génération automatique de factures récurrentes avec gestion des abonnements et relances,Module de facturation automatique récurrente Génération automatique de factures récurrentes avec gestion des abonnements et relances,35.4
Mettre en place Dashboard avec statistiques,Tableau de bord affichant des graphiques et indicateurs clés à partir de la base de données,Mettre en place Dashboard avec statistiques Tableau de bord affichant des graphiques et indicateurs clés à partir de la base de données,21.6
Ajouter la fonctionnalité : Système de géolocalisation en temps réel,Suivi de position en temps réel sur une carte avec historique des trajets,Ajouter la fonctionnalité : Système de géolocalisation en temps réel Suivi de position en temps réel sur une carte avec historique des trajets,37.2
Développer : Export CSV simple,Bouton pour exporter une liste en fichier CSV basique,Développer : Export CSV simple Bouton pour exporter une liste en fichier CSV basique,5.6
Ajouter la fonctionnalité : Ajouter bouton de suppression,Bouton pour supprimer un élément avec une confirmation basique,Ajouter la fonctionnalité : Ajouter bouton de suppression Bouton pour supprimer un élément avec une confirmation basique,2.7
Mettre en place Recherche avancée avec filtres multiples,"Recherche avec plusieurs filtres combinés (date, catégorie, statut, prix)","Mettre en place Recherche avancée avec filtres multiples Recherche avec plusieurs filtres combinés (date, catégorie, statut, prix)",16.0
Estimation automatique de l'effort par IA,Modèle de machine learning qui prédit l'effort nécessaire à partir de la description d'une tâche,Estimation automatique de l'effort par IA Modèle de machine learning qui prédit l'effort nécessaire à partir de la description d'une tâche,46.4
Mettre en place Système de messagerie en temps réel,"Chat en temps réel entre utilisateurs avec WebSockets, indicateurs de frappe et statut en ligne","Mettre en place Système de messagerie en temps réel Chat en temps réel entre utilisateurs avec WebSockets, indicateurs de frappe et statut en ligne",39.2
Dashboard avec statistiques,Tableau de bord affichant des graphiques et indicateurs clés à partir de la base de données,Dashboard avec statistiques Tableau de bord affichant des graphiques et indicateurs clés à partir de la base de données,20.0
Mettre en place Système de géolocalisation en temps réel,Suivi de position en temps réel sur une carte avec historique des trajets,Mettre en place Système de géolocalisation en temps réel Suivi de position en temps réel sur une carte avec historique des trajets,44.8
Mettre en place Système de traduction automatique intégré,Traduction en temps réel du contenu de l'application dans plusieurs langues via un modèle NLP,Mettre en place Système de traduction automatique intégré Traduction en temps réel du contenu de l'application dans plusieurs langues via un modèle NLP,50.1
Intégration webhook multi-services,Système d'événements sortants vers plusieurs services externes avec retry automatique,Intégration webhook multi-services Système d'événements sortants vers plusieurs services externes avec retry automatique,29.2
Ajouter la fonctionnalité : Ajouter bouton de suppression,Bouton pour supprimer un élément avec une confirmation basique,Ajouter la fonctionnalité : Ajouter bouton de suppression Bouton pour supprimer un élément avec une confirmation basique,3.2
Ajouter la fonctionnalité : Système de traduction automatique intégré,Traduction en temps réel du contenu de l'application dans plusieurs langues via un modèle NLP,Ajouter la fonctionnalité : Système de traduction automatique intégré Traduction en temps réel du contenu de l'application dans plusieurs langues via un modèle NLP,53.4
Export PDF de rapport,Génération de rapports PDF dynamiques avec mise en page personnalisée,Export PDF de rapport Génération de rapports PDF dynamiques avec mise en page personnalisée,14.5
Mettre en place Export PDF de rapport,Génération de rapports PDF dynamiques avec mise en page personnalisée,Mettre en place Export PDF de rapport Génération de rapports PDF dynamiques avec mise en page personnalisée,13.3
Mettre en place Système de traduction automatique intégré,Traduction en temps réel du contenu de l'application dans plusieurs langues via un modèle NLP,Mettre en place Système de traduction automatique intégré Traduction en temps réel du contenu de l'application dans plusieurs langues via un modèle NLP,54.5
Mettre en place Modifier le profil utilisateur,"Formulaire pour éditer nom, email et photo de profil","Mettre en place Modifier le profil utilisateur Formulaire pour éditer nom, email et photo de profil",7.0
Mettre en place Chatbot intelligent avec NLP,Assistant conversationnel utilisant le traitement du langage naturel pour répondre aux questions clients,Mettre en place Chatbot intelligent avec NLP Assistant conversationnel utilisant le traitement du langage naturel pour répondre aux questions clients,55.9
Upload et gestion d'images,Permettre l'upload d'images avec redimensionnement et stockage sécurisé,Upload et gestion d'images Permettre l'upload d'images avec redimensionnement et stockage sécurisé,14.0
Développer : Page à propos statique,Page HTML statique avec texte de présentation de l'entreprise,Développer : Page à propos statique Page HTML statique avec texte de présentation de l'entreprise,2.0
Synchronisation temps réel multi-utilisateurs,Édition collaborative en temps réel avec gestion des conflits entre plusieurs utilisateurs,Synchronisation temps réel multi-utilisateurs Édition collaborative en temps réel avec gestion des conflits entre plusieurs utilisateurs,55.1
Mettre en place Intégration paiement en ligne,"Ajouter Stripe pour permettre aux clients de payer leurs commandes, avec gestion des erreurs et webhook de confirmation","Mettre en place Intégration paiement en ligne Ajouter Stripe pour permettre aux clients de payer leurs commandes, avec gestion des erreurs et webhook de confirmation",40.4
Créer Changer le mot de passe,Formulaire simple de changement de mot de passe avec validation basique,Créer Changer le mot de passe Formulaire simple de changement de mot de passe avec validation basique,4.3
Créer Module d'analyse prédictive,Tableau de bord utilisant un modèle prédictif pour anticiper des tendances métier,Créer Module d'analyse prédictive Tableau de bord utilisant un modèle prédictif pour anticiper des tendances métier,39.1
Ajouter la fonctionnalité : Gestion des fichiers joints,"Permettre l'ajout de plusieurs fichiers (pdf, image) à une tâche avec prévisualisation","Ajouter la fonctionnalité : Gestion des fichiers joints Permettre l'ajout de plusieurs fichiers (pdf, image) à une tâche avec prévisualisation",15.6
Mettre en place Export PDF de rapport,Génération de rapports PDF dynamiques avec mise en page personnalisée,Mettre en place Export PDF de rapport Génération de rapports PDF dynamiques avec mise en page personnalisée,14.0
Moteur de scoring prédictif client,Modèle prédictif qui score les clients selon leur probabilité de conversion,Moteur de scoring prédictif client Modèle prédictif qui score les clients selon leur probabilité de conversion,49.9
Mettre en place Export CSV simple,Bouton pour exporter une liste en fichier CSV basique,Mettre en place Export CSV simple Bouton pour exporter une liste en fichier CSV basique,5.6
Développer : Intégration API de paiement multiple,"Support de plusieurs passerelles de paiement (Stripe, PayPal, virement) avec réconciliation","Développer : Intégration API de paiement multiple Support de plusieurs passerelles de paiement (Stripe, PayPal, virement) avec réconciliation",38.5
Mettre en place Ajouter un champ de recherche,Barre de recherche simple qui filtre une liste côté client,Mettre en place Ajouter un champ de recherche Barre de recherche simple qui filtre une liste côté client,4.1
Système de notifications,Notifications en base de données affichées dans une cloche avec compteur non lus,Système de notifications Notifications en base de données affichées dans une cloche avec compteur non lus,16.3
Système de recommandation de produits,Moteur de recommandation basé sur l'historique d'achat et le comportement de l'utilisateur,Système de recommandation de produits Moteur de recommandation basé sur l'historique d'achat et le comportement de l'utilisateur,51.8
Développer : Changer le mot de passe,Formulaire simple de changement de mot de passe avec validation basique,Développer : Changer le mot de passe Formulaire simple de changement de mot de passe avec validation basique,5.3
Mettre en place Upload et gestion d'images,Permettre l'upload d'images avec redimensionnement et stockage sécurisé,Mettre en place Upload et gestion d'images Permettre l'upload d'images avec redimensionnement et stockage sécurisé,15.2
Mettre en place Module de reporting avancé avec export multi-format,"Génération de rapports complexes avec agrégations, filtres dynamiques et export PDF/Excel","Mettre en place Module de reporting avancé avec export multi-format Génération de rapports complexes avec agrégations, filtres dynamiques et export PDF/Excel",32.7
Créer Système d'authentification à deux facteurs,Ajout de la 2FA par SMS ou application d'authentification avec gestion de la récupération,Créer Système d'authentification à deux facteurs Ajout de la 2FA par SMS ou application d'authentification avec gestion de la récupération,27.5
Module de facturation automatique récurrente,Génération automatique de factures récurrentes avec gestion des abonnements et relances,Module de facturation automatique récurrente Génération automatique de factures récurrentes avec gestion des abonnements et relances,36.0
Créer Upload et gestion d'images,Permettre l'upload d'images avec redimensionnement et stockage sécurisé,Créer Upload et gestion d'images Permettre l'upload d'images avec redimensionnement et stockage sécurisé,14.4
Développer : Système de recommandation de produits,Moteur de recommandation basé sur l'historique d'achat et le comportement de l'utilisateur,Développer : Système de recommandation de produits Moteur de recommandation basé sur l'historique d'achat et le comportement de l'utilisateur,45.0
Mettre en place Système de messagerie interne,"Chat simple entre utilisateurs avec historique des messages, sans temps réel","Mettre en place Système de messagerie interne Chat simple entre utilisateurs avec historique des messages, sans temps réel",20.2
Développer : Système de commentaires avec modération,Commentaires avec système de signalement et validation par un admin,Développer : Système de commentaires avec modération Commentaires avec système de signalement et validation par un admin,18.9
Ajouter la fonctionnalité : Système de rôles et permissions,"Gestion de rôles (admin, manager, user) avec permissions différenciées par page","Ajouter la fonctionnalité : Système de rôles et permissions Gestion de rôles (admin, manager, user) avec permissions différenciées par page",19.2
Moteur de scoring prédictif client,Modèle prédictif qui score les clients selon leur probabilité de conversion,Moteur de scoring prédictif client Modèle prédictif qui score les clients selon leur probabilité de conversion,54.0
Développer : Page de contact avec carte,Formulaire de contact avec une carte Google Maps intégrée,Développer : Page de contact avec carte Formulaire de contact avec une carte Google Maps intégrée,6.0
Mettre en place Liste des produits avec filtres simples,Affichage produits avec filtre par catégorie uniquement,Mettre en place Liste des produits avec filtres simples Affichage produits avec filtre par catégorie uniquement,6.6
Développer : Ajouter bouton de suppression,Bouton pour supprimer un élément avec une confirmation basique,Développer : Ajouter bouton de suppression Bouton pour supprimer un élément avec une confirmation basique,3.2
Mettre en place Système de vidéoconférence intégrée,Appels vidéo entre utilisateurs directement dans l'application avec partage d'écran,Mettre en place Système de vidéoconférence intégrée Appels vidéo entre utilisateurs directement dans l'application avec partage d'écran,53.9
Mettre en place Système de reconnaissance d'image,Intégration d'un modèle de vision par ordinateur pour classifier des images uploadées,Mettre en place Système de reconnaissance d'image Intégration d'un modèle de vision par ordinateur pour classifier des images uploadées,60.6
Mettre en place Automatisation complète des tests avec IA,Génération automatique de scénarios de test à partir de l'analyse du code par IA,Mettre en place Automatisation complète des tests avec IA Génération automatique de scénarios de test à partir de l'analyse du code par IA,47.5
Ajouter la fonctionnalité : Intelligence artificielle de détection de fraude,Modèle de machine learning pour détecter les transactions frauduleuses en temps réel,Ajouter la fonctionnalité : Intelligence artificielle de détection de fraude Modèle de machine learning pour détecter les transactions frauduleuses en temps réel,55.4
Créer Système de commentaires avec modération,Commentaires avec système de signalement et validation par un admin,Créer Système de commentaires avec modération Commentaires avec système de signalement et validation par un admin,17.5
Module d'analyse prédictive,Tableau de bord utilisant un modèle prédictif pour anticiper des tendances métier,Module d'analyse prédictive Tableau de bord utilisant un modèle prédictif pour anticiper des tendances métier,49.9
Créer Intégration d'un système de tags dynamiques,Auto-complétion de tags existants lors de la saisie,Créer Intégration d'un système de tags dynamiques Auto-complétion de tags existants lors de la saisie,10.9
Système de messagerie en temps réel,"Chat en temps réel entre utilisateurs avec WebSockets, indicateurs de frappe et statut en ligne","Système de messagerie en temps réel Chat en temps réel entre utilisateurs avec WebSockets, indicateurs de frappe et statut en ligne",46.5
Développer : Ajouter un champ de recherche,Barre de recherche simple qui filtre une liste côté client,Développer : Ajouter un champ de recherche Barre de recherche simple qui filtre une liste côté client,3.6
Modifier le profil utilisateur,"Formulaire pour éditer nom, email et photo de profil","Modifier le profil utilisateur Formulaire pour éditer nom, email et photo de profil",7.4
Ajouter la fonctionnalité : Modifier le profil utilisateur,"Formulaire pour éditer nom, email et photo de profil","Ajouter la fonctionnalité : Modifier le profil utilisateur Formulaire pour éditer nom, email et photo de profil",6.9
Page à propos statique,Page HTML statique avec texte de présentation de l'entreprise,Page à propos statique Page HTML statique avec texte de présentation de l'entreprise,1.8
Mettre en place Système de vidéoconférence intégrée,Appels vidéo entre utilisateurs directement dans l'application avec partage d'écran,Mettre en place Système de vidéoconférence intégrée Appels vidéo entre utilisateurs directement dans l'application avec partage d'écran,54.0
Intégration webhook multi-services,Système d'événements sortants vers plusieurs services externes avec retry automatique,Intégration webhook multi-services Système d'événements sortants vers plusieurs services externes avec retry automatique,32.0
Ajouter la fonctionnalité : Estimation automatique de l'effort par IA,Modèle de machine learning qui prédit l'effort nécessaire à partir de la description d'une tâche,Ajouter la fonctionnalité : Estimation automatique de l'effort par IA Modèle de machine learning qui prédit l'effort nécessaire à partir de la description d'une tâche,54.8
Créer Affichage des commentaires,"Liste des commentaires sous un article, sans modération","Créer Affichage des commentaires Liste des commentaires sous un article, sans modération",5.4
Développer : Export CSV simple,Bouton pour exporter une liste en fichier CSV basique,Développer : Export CSV simple Bouton pour exporter une liste en fichier CSV basique,4.5
Développer : Page 404 personnalisée,Page d'erreur personnalisée avec redirection vers l'accueil,Développer : Page 404 personnalisée Page d'erreur personnalisée avec redirection vers l'accueil,1.9
